title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
MITSUBISHI PAJERO 3.5L / 2013,"26,000",167390,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2013,Silver, Dubai,GLS,mitsubishi,pajero,13/05/2022
chevrolet silverado,"110,000",39000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,White, Sharjah,1500 High Country,chevrolet,silverado,14/01/2022
MERCEDES-BENZ E300 - 2014 - GCC SPEC - FULL OPTION,"78,000",200000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2014,Blue, Sharjah,E 300,mercedes-benz,e-class,5/5/2022
"WARRANTY UNTIL APR 2023 || Ferrari 488 Spider 2018 Red-Black 27,000 KM","899,000",27000,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2018,Red, Dubai,Standard,ferrari,488-spider,30/04/2022
USED RENAULT DOKKER 2020,"33,000",69000,Perfect inside and out,Perfect inside and out,Owner,Wagon,4,Manual Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2020,White, Dubai,Standard,renault,dokker,13/05/2022
A7 S-line Quattro. Under Warranty. Accidents Free. Excellent Condition,"98,000",84000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015,Gold, Dubai,S-line,audi,a7,30/04/2022
"AED 4,999 /MONTH| JEEP GRAND CHEROKEE SRT V8 6.4L GCC","257,000",68000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,440/,GCC Specs,Unknown,Gasoline,Left Hand Side,2019,Black, Dubai,SRT,jeep,grand-cherokee,20/03/2022
2022 Mitsubishi L200 2.4L 4x4 AT | EXPORT ONLY,"82,000",0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,Other,Unknown,Diesel,Left Hand Side,,Silver, Dubai,Other,mitsubishi,l200,15/02/2022
TOYOTA LC PICKUP FULL OPTION 2022,"149,000",0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,Beige, Abu Dhabi,70th Anniversary,toyota,land-cruiser-76-series,11/5/2022
Warranty | 0 Down payment | Model 2013 | V6 engine | 260 HP | (D9061250),"35,999",111749,Perfect inside and out,Perfect inside and out,Dealer,Van,6,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Silver, Dubai,SV,nissan,quest,7/8/2021
Audi S8 TFSI quattro   570hp 2020 gcc Under Warranty,"389,000",50000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,Grey, Abu Dhabi,Other,audi,s8,24/02/2022
"2020 Mercedes G63 | 96,000 KM | GCC Spec | Available For Local  Export","750,000",96000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,Silver, Dubai,G 63 AMG,mercedes-benz,g-class,12/4/2022
*Extended Warranty Available* I Mercedes-Benz CLS 450 4MATIC EDITION 1,"329,000",31577,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,White, Dubai,Other,mercedes-benz,cls-class,8/3/2022
MITSUBISHI ATTRAGE SIGNATURE EDITION MODEL 2022 - GCC SPECIFICATION,"63,500",0,Perfect inside and out,Perfect inside and out,Dealer,Sedan,3,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,,Blue, Dubai,Other,mitsubishi,attrage,9/4/2022
FORD EDGE LIMITED- 2008- FULL OPTIONS-EXCELLENT CONDITION-,"19,500",171000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2008,White, Dubai,Limited,ford,edge,25/04/2022
AED4950/month | 2018 Maserati GranTurismo Sport 4.7L | GCC Specifications | Ref#12119,"270,000",41309,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,Sport,maserati,granturismo,17/04/2022
AED2325/month | 2020 Audi A6 2.0L | Full Audi Service History | GCC Specs | Ref#14334,"155,000",73455,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,Blue, Dubai,Other,audi,a6,13/05/2022
!! 2022 !! CHEVROLET Captive AW18 3 Years warranty + Insurance + Registration,"83,500",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,,Grey, Dubai,Other,chevrolet,captiva,9/5/2022
"2018 Alfa Romeo Giulietta Veloce 1.8L 4Cyl 240hpp// 1,244 AED //ASSURED QUALITY","75,900",71442,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,Blue, Dubai,Veloce,alfa-romeo,giulietta,21/04/2022
Toyota avanza 2018,"39,000",105000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018,White, Abu Dhabi,SE,toyota,avanza,10/3/2022
BMW 630i | Original Paint | GCC | Amazing Condition,"30,000",169500,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2010,White, Dubai,630i,bmw,6-series,24/03/2022
PALISADE 2021,"135,000",49000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Blue, Ajman,3.8 V6 4WD,hyundai,palisade,9/4/2022
AED1690/month | 2017 Cadillac XT5 3.6L | GCC Specifications | Ref#524,"89,000",67718,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,White, Dubai,Other,cadillac,xt5,23/11/2021
2015 BENTLEY CONTINENTAL GTC W12 SPEED,"499,000",8199,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,12,Automatic Transmission,European Specs,500 - 600 HP,Gasoline,Left Hand Side,2015,Other Color, Dubai,Other,bentley,continental-gt,22/04/2022
"2,348 P.M | Giulia Super | 0% Downpayment | Perfect Condition!","119,900",44000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,White, Dubai,Super,alfa-romeo,giulia,28/04/2022
VERY LUXURIOUS - 2008 MERCEDES CL63 AMG - WELL MAINTANIED - GCC SPECS -,"63,000",163000,Perfect inside and out,Perfect inside and out,Owner,Coupe,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2008,Grey, Dubai,CL 63 AMG,mercedes-benz,cl-class,30/04/2022
AED1450/Month 2019 HYUNDAI SANTAFE GCC MIDOPTION LOW KM (BANK FINANCE AVAILABLE),"75,000",21000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Grey, Dubai,GLS,hyundai,santa-fe,17/03/2022
THE NEW - TOYOTA HILUX ADVENTURE 2.8L DIESEL AUTOMATIC TRANSMISSION 2022 MODEL - (FOR EXPORT ONLY),"160,000",0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,150 - 200 HP,Diesel,Left Hand Side,,Black, Dubai,Adventure,toyota,hilux,21/03/2022
BMW 640i Gran Coupe 2015 GCC - Warranty/Full Service History/Recent Service/Excellent condition!,"114,500",99220,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015,Brown, Dubai,640i,bmw,6-series,8/2/2022
2021 FORD MUSTANG GT PREMIUM V8 5.0L GCC 0Km With 3 Yrs or 100K Km WNTY,"245,999",7,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Grey, Dubai,GT Premium,ford,mustang,30/04/2022
2022 G63 AMG / GCC Spec / With Warranty  Service,"1,090,000",0,Perfect inside and out,Perfect inside and out,Dealer,Wagon,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,,White, Dubai,G 63 AMG,mercedes-benz,g-class,18/12/2021
AED7840/month | 2015 Mercedes-Benz S 63 Coupe 4MATIC AMG 4.7L | GCC Specifications | Ref#7437,"224,000",110608,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,White, Dubai,S 63 Coupe AMG,mercedes-benz,s-class-coupe,21/04/2022
Inspected Car | 2012 Lincoln MKT Ecoboost 3.5L | Full Lincoln Service | GCC Specs | Ref#11353,"30,000",130969,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2012,White, Dubai,Ecoboost,lincoln,mkt,13/04/2022
Ferrari 458 Italia  2014 GCC,"574,000",29000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2014,Red, Dubai,Other,ferrari,458-italia,31/10/2021
2020 Mercedes CLA 250 GCC,"190,000",34000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,White, Dubai,CLA250,mercedes-benz,cla,24/03/2022
nissan patrol,"125,000",94000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2018,Gold, Sharjah,Super Safari,nissan,patrol,18/04/2022
Inspected Car | 2014 Chevrolet Traverse LTZ 3.6L | GCC Specifications | Ref#12866,"36,000",162579,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014,Blue, Dubai,LTZ,chevrolet,traverse,26/04/2022
Ford Mustang 2013 Convertible in Perfect Condition Full Option,"33,000",162000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2013,Black, Abu Dhabi,Other,ford,mustang,21/04/2022
AED7360/month | 2019 Porsche 911 Carrera GTS 3.0L | Full Porsche Service | GCC Specs | Ref#730,"470,000",18347,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2019,Grey, Dubai,GTS,porsche,carrera,18/11/2021
